eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
17T000000016043B,TR 400/225kV 761 CAPELLE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.087,45.77,,,,False,True
17T0000000146063,TR 400/225kV 761 CAZARIL,RTE,400.0,225.0,921.0,638.0875175083744,0.43,69.9,,,,False,True
17T0000000146071,TR 400/225kV 762 CAZARIL,RTE,400.0,225.0,847.0,586.8188136043357,0.55,68.9,,,,False,True
17T000000014198T,TR 400/225kV 761-(769) CERGY,RTE,400.0,225.0,850.0,588.8972745734183,0.59,68.7,,,,False,True
17T000000014199R,TR 400/225kV 763 CERGY,RTE,400.0,225.0,1800.0,1247.0765814495915,0.24,45.4,,,,False,True
17T000000014200V,TR 400/225kV 764 CERGY,RTE,400.0,225.0,1800.0,1247.0765814495915,0.27,45.9,,,,False,True
17T000000014201T,TR 400/225kV 765 CERGY,RTE,400.0,225.0,1800.0,1247.0765814495915,0.26,45.2,,,,False,True
17T000000014198T,TR 400/225kV 769 CERGY,RTE,400.0,225.0,925.0,640.8587988004846,0.57,72.8,,,,False,True
17T000000014617Z,TR 400/225kV 761 CHAINGY,RTE,400.0,225.0,1800.0,1247.0765814495915,0.23,45.2,,,,False,True
17T000000014618X,TR 400/225kV 762 CHAINGY,RTE,400.0,225.0,1800.0,1247.0765814495915,0.25,44.7,,,,False,True
17T000000014626Y,TR 400/225kV 761 CHARPENAY,RTE,400.0,225.0,921.0,638.0875175083744,0.57,71.2,,,,False,True
17T000000014627W,TR 400/225kV 762 CHARPENAY,RTE,400.0,225.0,921.0,638.0875175083744,0.05,70.9,,,,False,True
17T000000014210S,TR 400/225kV 761 CHESNOY (LE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.14,42.3,,,,False,True
17T000000014211Q,TR 400/225kV 762 CHESNOY (LE),RTE,400.0,225.0,921.0,638.0875175083744,0.08,42.4,,,,False,True
17T000000016084Y,TR 400/225kV 763 CHESNOY (LE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.126,45.66,,,,False,True
17T000000014215I,TR 400/225kV 761 CIROLLIERS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.32,45.7,,,,False,True
17T000000014216G,TR 400/225kV 762 CIROLLIERS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.8,,,,False,True
17T000000014217E,TR 400/225kV 763 CIROLLIERS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.25,45.8,,,,False,True
17T000000014652X,TR 400/225kV 761 CORDEMAIS-POSTE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.29,45.8,,,,False,True
17T000000014653V,TR 400/225kV 763 CORDEMAIS-POSTE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.07,42.4,,,,False,True
17T000000014654T,TR 400/225kV 765 CORDEMAIS-POSTE,RTE,400.0,225.0,921.0,638.0875175083744,0.7,70.4,,,,False,True
17T000000014655R,TR 400/225kV 769 CORDEMAIS-POSTE,RTE,400.0,225.0,921.0,638.0875175083744,0.43,63.0,,,,False,True
17T000000014663S,TR 400/225kV 761 CORNIER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.5,,,,False,True
17T000000014664Q,TR 400/225kV 762 CORNIER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.7,,,,False,True
17T000000014676J,TR 400/225kV 761 CHAMPAGNIER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,42.4,,,,False,True
17T000000014677H,TR 400/225kV 762 CHAMPAGNIER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,42.6,,,,False,True
17T000000014685I,TR 400/225kV 765 CRENEY,RTE,400.0,225.0,884.0,612.453165556355,0.35,45.4,,,,False,True
17T000000014686G,TR 400/225kV 766 CRENEY,RTE,400.0,225.0,885.0,613.1459858793826,0.37,36.5,,,,False,True
17T000000014687E,TR 400/225kV 768 CRENEY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,42.4,,,,False,True
17T000000014694H,TR 400/225kV 761 CUBNEZAIS,RTE,400.0,225.0,1800.0,1247.0765814495915,0.29,44.8,,,,False,True
17T000000014695F,TR 400/225kV 762 CUBNEZAIS,RTE,400.0,225.0,1800.0,1247.0765814495915,0.05,42.4,,,,False,True
17T0000000147051,TR 400/225kV 761 DAMBRON,RTE,400.0,225.0,1800.0,1247.0765814495915,0.09,42.4,,,,False,True
17T0000000147132,TR 400/225kV 760 DISTRE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.05,42.5,,,,False,True
17T000000014715Z,TR 400/225kV 762 DISTRE,RTE,400.0,225.0,913.0,632.544954924154,0.57,72.8,,,,False,True
17T000000014716X,TR 400/225kV 765 DISTRE,RTE,400.0,225.0,923.0,639.4731581544295,0.15,74.8,,,,False,True
17T000000014717V,TR 400/225kV 766 DISTRE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.03,42.4,,,,False,True
17T000000014725W,TR 400/225kV 764 DOMLOUP,RTE,400.0,225.0,1803.0,1249.1550424186744,0.25,43.7,,,,False,True
17T000000014726U,TR 400/225kV 765 DOMLOUP,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,42.6,,,,False,True
17T000000014727S,TR 400/225kV 762 DONZAC,RTE,400.0,225.0,1803.0,1249.1550424186744,0.13,42.2,,,,False,True
17T000000014734V,TR 400/225kV 761 ECHALAS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.7,,,,False,True
17T000000014735T,TR 400/225kV 762 ECHALAS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.07,42.5,,,,False,True
17T000000014738N,TR 400/225kV 761 EGUZON,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,44.8,,,,False,True
17T000000014739L,TR 400/225kV 762 EGUZON,RTE,400.0,225.0,921.0,638.0875175083744,0.25,68.3,,,,False,True
17T000000014784G,TR 400/225kV 761 FEUILLANE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.111,39.8,,,,False,True
17T000000014141L,TR 400/225kV 761 FRASNE,RTE,400.0,225.0,902.0,624.9239313708509,0.004,74.25,,,,False,True
17T000000014818P,TR 400/225kV 761 GRANDE-ILE,RTE,400.0,225.0,921.0,638.0875175083744,0.02,70.6,,,,False,True
17T000000014819N,TR 400/225kV 762 GRANDE-ILE,RTE,400.0,225.0,921.0,638.0875175083744,0.45,71.2,,,,False,True
17T000000016003N,TR 400/225kV 761 GALOREAUX (LES),RTE,400.0,225.0,1803.0,1249.1550424186744,0.119,39.64,,,,False,True
17T000000014850T,TR 400/225kV 761 GAUDIERE (LA),RTE,400.0,225.0,921.0,638.0875175083744,0.86,74.5,,,,False,True
17T000000014851R,TR 400/225kV 762 GAUDIERE (LA),RTE,400.0,225.0,1805.0,1250.5406830647294,0.07,42.7,,,,False,True
17T0000000142718,TR 400/225kV 761 GAVRELLE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.12,42.2,,,,False,True
17T000000014853N,TR 400/225kV 761 GENISSIAT-POSTE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.03,42.3,,,,False,True
17T000000014854L,TR 400/225kV 762 GENISSIAT-POSTE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.33,42.3,,,,False,True
17T0000000148876,TR 400/225kV 761 GRANZAY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.19,44.9,,,,False,True
17T0000000148884,TR 400/225kV 762 GRANZAY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.24,45.0,,,,False,True
17T0000000148892,TR 400/225kV 763 GRANZAY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.31,45.6,,,,False,True
17T0000000148965,TR 400/225kV 761 GROSNE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.23,45.0,,,,False,True
17T0000000148973,TR 400/225kV 762 GROSNE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.1,45.4,,,,False,True
17T000000014135G,TR 400/225kV 762 HENRI-PAUL,RTE,400.0,225.0,1805.0,1250.5406830647294,0.087,45.55,,,,False,True
17T0000000142815,TR 400/225kV 762 HAVRE (LE) (POSTE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,42.5,,,,False,True
17T0000000142823,TR 400/225kV 763 HAVRE (LE) (POSTE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.06,42.3,,,,False,True
17T000000014991B,TR 400/225kV 761 JONQUIERES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.4,,,,False,True
17T0000000149929,TR 400/225kV 762 JONQUIERES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.29,45.6,,,,False,True
17T0000000149961,TR 400/225kV 761 JUMEAUX (LES),RTE,400.0,225.0,921.0,638.0875175083744,0.1,70.1,,,,False,True
17T000000014998Y,TR 400/225kV 762 JUMEAUX (LES),RTE,400.0,225.0,921.0,638.0875175083744,0.44,69.3,,,,False,True
17T000000014287U,TR 400/225kV 761 LATENA,RTE,400.0,225.0,1803.0,1249.1550424186744,0.26,45.5,,,,False,True
17T000000014288S,TR 400/225kV 762 LATENA,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.0,,,,False,True
17T000000014289Q,TR 400/225kV 763 LATENA,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.4,,,,False,True
17T000000014295V,TR 400/225kV 763 LAUNAY,RTE,400.0,225.0,918.0,636.0090565392918,0.68,70.4,,,,False,True
17T0000000150494,TR 400/225kV 761 LESQUIVE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.4,,,,False,True
17T000000015050J,TR 400/225kV 762 LESQUIVE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.36,46.1,,,,False,True
17T000000016165Y,TR 400/225kV 761 LIMEUX,RTE,400.0,225.0,1803.0,1249.1550424186744,0.12,39.5,,,,False,True
17T000000015060G,TR 400/225kV 766 LOGELBACH,RTE,400.0,225.0,913.0,632.544954924154,0.64,69.9,,,,False,True
17T000000015061E,TR 400/225kV 767 LOGELBACH,RTE,400.0,225.0,913.0,632.544954924154,0.57,70.3,,,,False,True
17T000000015150F,TR 400/225kV 761 MAMBELIN,RTE,400.0,225.0,913.0,632.544954924154,0.22,70.0,,,,False,True
17T000000015151D,TR 400/225kV 762 MAMBELIN,RTE,400.0,225.0,913.0,632.544954924154,0.19,70.9,,,,False,True
17T000000015152B,TR 400/225kV 763 MAMBELIN,RTE,400.0,225.0,913.0,632.544954924154,0.17,68.7,,,,False,True
17T000000014305H,TR 400/225kV 761 MANDARINS,RTE,400.0,225.0,921.0,638.0875175083744,0.35,73.0,,,,False,True
17T000000014306F,TR 400/225kV 763 MANDARINS,RTE,400.0,225.0,921.0,638.0875175083744,0.35,72.0,,,,False,True
17T0000000151555,TR 400/225kV 761 MARLENHEIM,RTE,400.0,225.0,1803.0,1249.1550424186744,0.06,42.4,,,,False,True
17T0000000151563,TR 400/225kV 762 MARLENHEIM,RTE,400.0,225.0,1803.0,1249.1550424186744,0.08,44.2,,,,False,True
17T0000000151571,TR 400/225kV 763 MARLENHEIM,RTE,400.0,225.0,1803.0,1249.1550424186744,0.22,44.9,,,,False,True
17T0000000151822,TR 400/225kV 761 MARMAGNE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,45.87,,,,False,True
17T000000016017C,TR 400/225kV 761 MARSILLON,RTE,400.0,225.0,1805.0,1250.5406830647294,1.0633,45.62,,,,False,True
17T0000000151911,TR 400/225kV 761 MARTYRE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,46.0,,,,False,True
17T000000015193Y,TR 400/225kV 762 MARTYRE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.8,,,,False,True
17T000000014314G,TR 400/225kV 761 MASTAING,RTE,400.0,225.0,1803.0,1249.1550424186744,0.29,45.6,,,,False,True
17T000000014315E,TR 400/225kV 762 MASTAING,RTE,400.0,225.0,1803.0,1249.1550424186744,0.15,42.5,,,,False,True
17T0000000143196,TR 400/225kV 761 MAZURES,RTE,400.0,225.0,921.0,638.0875175083744,0.36,69.3,,,,False,True
17T000000014320L,TR 400/225kV 762 MAZURES,RTE,400.0,225.0,921.0,638.0875175083744,0.73,67.6,,,,False,True
17T000000014321J,TR 400/225kV 763 MAZURES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,42.2,,,,False,True
17T000000014322H,TR 400/225kV 761 MEZEROLLES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.4,,,,False,True
17T000000014323F,TR 400/225kV 762 MEZEROLLES,RTE,400.0,225.0,921.0,638.0875175083744,0.54,69.6,,,,False,True
17T000000014324D,TR 400/225kV 763 MEZEROLLES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.14,42.4,,,,False,True
17T000000014325B,TR 400/225kV 764 MEZEROLLES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.5,,,,False,True
17T000000015225A,TR 400/225kV 761 MIONS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.14,42.4,,,,False,True
17T0000000152268,TR 400/225kV 762 MIONS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.14,42.0,,,,False,True
17T0000000152276,TR 400/225kV 763 MIONS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.22,45.0,,,,False,True
17T0000000143285,TR 400/225kV 761 MORBRAS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.25,45.4,,,,False,True
17T0000000143293,TR 400/225kV 762 MORBRAS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.5,,,,False,True
17T000000014330I,TR 400/225kV 763 MORBRAS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.2,,,,False,True
17T000000014331G,TR 400/225kV 764 MORBRAS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.31,45.4,,,,False,True
17T000000015248Z,TR 400/225kV 761 MOULAINE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.44,36.1,,,,False,True
17T0000000159657,TR 400/225kV 762 MOULAINE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,42.6,,,,False,True
17T0000000152535,TR 400/225kV 761 MARQUIS (LE),RTE,400.0,225.0,884.0,612.453165556355,0.55,73.1,,,,False,True
17T0000000152543,TR 400/225kV 762 MARQUIS (LE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.53,73.0,,,,False,True
17T0000000152551,TR 400/225kV 763 MARQUIS (LE),RTE,400.0,225.0,884.0,612.453165556355,0.41,62.7,,,,False,True
17T000000016283S,TR 400/225kV 764 MARQUIS (LE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.099,40.11,,,,False,True
17T000000015293U,TR 400/225kV 761 NEOULES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.13,42.0,,,,False,True
17T000000015294S,TR 400/225kV 762 NEOULES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.1,,,,False,True
17T0000000159754,TR 400/225kV 761 OUDON,RTE,400.0,225.0,1803.0,1249.1550424186744,0.14,44.8,,,,False,True
17T000000015322C,TR 400/225kV 761 PRAZ-ST-ANDRE,RTE,400.0,225.0,921.0,638.0875175083744,0.11,67.9,,,,False,True
17T0000000143439,TR 400/225kV 761 PLESSIS-GASSOT,RTE,400.0,225.0,1800.0,1247.0765814495915,0.32,45.9,,,,False,True
17T0000000143447,TR 400/225kV 762 PLESSIS-GASSOT,RTE,400.0,225.0,1800.0,1247.0765814495915,0.08,42.3,,,,False,True
17T0000000143455,TR 400/225kV 763 PLESSIS-GASSOT,RTE,400.0,225.0,1800.0,1247.0765814495915,0.29,45.2,,,,False,True
17T0000000143463,TR 400/225kV 764 PLESSIS-GASSOT,RTE,400.0,225.0,1800.0,1247.0765814495915,0.28,44.6,,,,False,True
17T0000000143471,TR 400/225kV 765 PLESSIS-GASSOT,RTE,400.0,225.0,1800.0,1247.0765814495915,0.28,45.1,,,,False,True
17T0000000162077,TR 400/225kV 762 PLAINE HAUTE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.098,39.63,,,,False,True
17T000000015330D,TR 400/225kV 763 PLAINE HAUTE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.31,45.8,,,,False,True
17T000000014136E,TR 400/225kV 761 PLAN-D ORGON,RTE,400.0,225.0,921.0,638.0875175083744,0.25,76.4,,,,False,True
17T0000000154066,TR 400/225kV 761 PONTEAU,RTE,400.0,225.0,1803.0,1249.1550424186744,0.068,-11.7,,,,False,False
17T000000015449P,TR 400/225kV 761 QUINTES (LES),RTE,400.0,225.0,1803.0,1249.1550424186744,0.18,42.9,,,,False,True
17T0000000154503,TR 400/225kV 762 QUINTES (LES),RTE,400.0,225.0,1805.0,1250.5406830647294,0.11,42.3,,,,False,True
17T000000015482R,TR 400/225kV 761 REALTOR,RTE,400.0,225.0,1805.0,1250.5406830647294,0.12,41.7,,,,False,True
17T000000015483P,TR 400/225kV 762 REALTOR,RTE,400.0,225.0,1805.0,1250.5406830647294,0.14,42.7,,,,False,True
17T000000015484N,TR 400/225kV 763 REALTOR,RTE,400.0,225.0,1805.0,1250.5406830647294,0.11,41.8,,,,False,True
17T000000014138A,TR 400/225kV 761 REMISE,RTE,400.0,225.0,901.0,624.2311110478233,-0.036,73.1,,,,False,True
17T000000015487H,TR 400/225kV 764 REVIGNY,RTE,400.0,225.0,925.0,640.8587988004846,0.59,69.3,,,,False,True
17T000000015938A,TR 400/225kV 765 REVIGNY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,42.8,,,,False,True
17T000000014393V,TR 400/225kV 762 ROUGEMONTIER,RTE,400.0,225.0,921.0,638.0875175083744,0.06,71.8,,,,False,True
17T000000014394T,TR 400/225kV 763 ROUGEMONTIER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.41,44.8,,,,False,True
17T000000014396P,TR 400/225kV 765 ROUGEMONTIER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.2,44.6,,,,False,True
17T0000000155321,TR 400/225kV 761 RUEYRES,RTE,400.0,225.0,901.0,624.2311110478233,0.4,69.2,,,,False,True
17T000000015534Y,TR 400/225kV 762 RUEYRES,RTE,400.0,225.0,913.0,632.544954924154,0.52,71.6,,,,False,True
17T000000015535W,TR 400/225kV 761 RULHAT,RTE,400.0,225.0,921.0,638.0875175083744,0.58,70.8,,,,False,True
17T000000015536U,TR 400/225kV 762 RULHAT,RTE,400.0,225.0,921.0,638.0875175083744,0.61,67.8,,,,False,True
17T0000000161291,TR 400/225kV 763 RULHAT,RTE,400.0,225.0,1803.0,1249.1550424186744,0.103,45.77,,,,False,True
17T000000015569F,TR 400/225kV 761 SAUCATS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.26,45.1,,,,False,True
17T000000015570U,TR 400/225kV 762 SAUCATS,RTE,400.0,225.0,1805.0,1250.5406830647294,0.13,42.2,,,,False,True
17T000000016008D,TR 400/225kV 763 SAUCATS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.167,40.43,,,,False,True
17T000000014405D,TR 400/225kV 761 SAUSSET,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,43.0,,,,False,True
17T000000016211G,TR 400/225kV 762 SAUSSET,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,45.9,,,,False,True
17T000000015574M,TR 400/225kV 761 SCHEER,RTE,400.0,225.0,1803.0,1249.1550424186744,0.118,39.27,,,,False,True
17T000000015581P,TR 400/225kV 761 SEREIN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,42.7,,,,False,True
17T0000000156026,TR 400/225kV 762 SEREIN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.12,42.7,,,,False,True
17T000000015606Z,TR 400/225kV 762 SIERENTZ,RTE,400.0,225.0,913.0,632.544954924154,0.56,69.9,,,,False,True
17T000000015607X,TR 400/225kV 764 SIERENTZ,RTE,400.0,225.0,913.0,632.544954924154,0.62,69.9,,,,False,True
17T000000015647L,TR 400/225kV 761 ST-AVOLD,RTE,400.0,225.0,1803.0,1249.1550424186744,0.13,42.6,,,,False,True
17T000000015659E,TR 400/225kV 765 ST-ELOI,RTE,400.0,225.0,847.0,586.8188136043357,0.35,68.5,,,,False,True
17T000000015660T,TR 400/225kV 766 ST-ELOI,RTE,400.0,225.0,847.0,586.8188136043357,0.07,68.3,,,,False,True
17T000000015732U,TR 400/225kV 761 TABARDERIE,RTE,400.0,225.0,912.0,631.8521346011264,0.66,71.0,,,,False,True
17T000000015733S,TR 400/225kV 762 TABARDERIE,RTE,400.0,225.0,912.0,631.8521346011264,0.64,70.6,,,,False,True
17T000000015737K,TR 400/225kV 761 TAMAREAU,RTE,400.0,225.0,1803.0,1249.1550424186744,0.25,45.0,,,,False,True
17T000000015738I,TR 400/225kV 762 TAMAREAU,RTE,400.0,225.0,1803.0,1249.1550424186744,0.13,42.4,,,,False,True
17T000000015739G,TR 400/225kV 763 TAMAREAU,RTE,400.0,225.0,1803.0,1249.1550424186744,0.02,42.5,,,,False,True
17T000000015763J,TR 400/225kV 763 TAVEL,RTE,400.0,225.0,1805.0,1250.5406830647294,0.14,42.6,,,,False,True
17T000000015764H,TR 400/225kV 764 TAVEL,RTE,400.0,225.0,1805.0,1250.5406830647294,0.15,42.5,,,,False,True
17T000000014422D,TR 400/225kV 761 TERRIER,RTE,400.0,225.0,1800.0,1247.0765814495915,0.02,42.4,,,,False,True
17T000000014423B,TR 400/225kV 762 TERRIER,RTE,400.0,225.0,1800.0,1247.0765814495915,0.31,45.6,,,,False,True
17T000000014432A,TR 400/225kV 763 TOURBE,RTE,400.0,225.0,1806.0,1251.2335033877569,0.24,46.2,,,,False,True
17T0000000144338,TR 400/225kV 764 TOURBE,RTE,400.0,225.0,1806.0,1251.2335033877569,0.29,45.5,,,,False,True
17T0000000159665,TR 400/225kV 761 TRANS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,45.9,,,,False,True
17T0000000159673,TR 400/225kV 762 TRANS,RTE,400.0,225.0,1803.0,1249.1550424186744,0.11,45.6,,,,False,True
17T000000018368A,TR 400/225kV 761 TRICASTIN-POSTE (LE),RTE,400.0,225.0,2654.0,1838.74513731512,0.1,50.9,,,,False,True
17T0000000183698,TR 400/225kV 762 TRICASTIN-POSTE (LE),RTE,400.0,225.0,2654.0,1838.74513731512,0.1,50.9,,,,False,True
17T000000018370N,TR 400/225kV 765 TRICASTIN-POSTE (LE),RTE,400.0,225.0,2654.0,1838.74513731512,0.1,50.9,,,,False,True
17T000000018371L,TR 400/225kV 766 TRICASTIN-POSTE (LE),RTE,400.0,225.0,2654.0,1838.74513731512,0.1,50.9,,,,False,True
17T000000015805T,TR 400/225kV 761 VALDIVIENNE,RTE,400.0,225.0,921.0,638.0875175083744,0.02,68.1,,,,False,True
17T000000015806R,TR 400/225kV 762 VALDIVIENNE,RTE,400.0,225.0,921.0,638.0875175083744,0.17,69.2,,,,False,True
17T0000000144419,TR 400/225kV 762 VAUPALIERE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.32,45.2,,,,False,True
17T0000000144427,TR 400/225kV 763 VAUPALIERE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.32,45.1,,,,False,True
17T0000000144435,TR 400/225kV 764 VAUPALIERE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.12,42.8,,,,False,True
17T000000015819I,TR 400/225kV 761 VERFEIL,RTE,400.0,225.0,1805.0,1250.5406830647294,0.14,42.6,,,,False,True
17T000000015820X,TR 400/225kV 762 VERFEIL,RTE,400.0,225.0,1805.0,1250.5406830647294,0.14,42.1,,,,False,True
17T0000000144443,TR 400/225kV 762 VESLE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.16,42.9,,,,False,True
17T0000000144451,TR 400/225kV 763 VESLE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.14,43.3,,,,False,True
17T000000015848B,TR 400/225kV 761 VIELMOULIN,RTE,400.0,225.0,912.0,631.8521346011264,0.7,68.7,,,,False,True
17T0000000158499,TR 400/225kV 762 VIELMOULIN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.25,45.2,,,,False,True
17T000000015850O,TR 400/225kV 763 VIELMOULIN,RTE,400.0,225.0,912.0,631.8521346011264,0.5,69.4,,,,False,True
17T000000015851M,TR 400/225kV 761 VIGY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.15,42.7,,,,False,True
17T000000015852K,TR 400/225kV 763 VIGY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.13,42.8,,,,False,True
17T000000015857A,TR 400/225kV 765 VINCEY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,42.4,,,,False,True
17T0000000158588,TR 400/225kV 766 VINCEY,RTE,400.0,225.0,1803.0,1249.1550424186744,0.29,45.2,,,,False,True
17T000000014449U,TR 400/225kV 761 VILLEJUST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.08,42.4,,,,False,True
17T0000000144508,TR 400/225kV 762 VILLEJUST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.1,42.4,,,,False,True
17T0000000144516,TR 400/225kV 763 VILLEJUST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.29,45.5,,,,False,True
17T0000000144524,TR 400/225kV 764 VILLEJUST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.24,45.4,,,,False,True
17T0000000144532,TR 400/225kV 765 VILLEJUST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.3,46.0,,,,False,True
17T000000016051C,TR 400/225kV 766 VILLEJUST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.094,39.2,,,,False,True
17T000000014457V,TR 400/225kV 762 VILLEVAUDE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.8,,,,False,True
17T000000014458T,TR 400/225kV 763 VILLEVAUDE,RTE,400.0,225.0,1805.0,1250.5406830647294,0.1,42.5,,,,False,True
17T000000014459R,TR 400/225kV 764 VILLEVAUDE,RTE,400.0,225.0,1805.0,1250.5406830647294,0.04,42.3,,,,False,True
17T0000000144605,TR 400/225kV 765  (769) VILLEVAUDE,RTE,400.0,225.0,1842.0,1276.1750350167488,0.24,72.0,,,,False,True
17T0000000144605,TR 400/225kV 769 VILLEVAUDE,RTE,400.0,225.0,921.0,638.0875175083744,0.34,68.1,,,,False,True
17T0000000144613,TR 400/225kV 761 WARANDE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,44.8,,,,False,True
17T0000000144621,TR 400/225kV 762 WARANDE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.26,45.2,,,,False,True
17T000000014464Y,TR 400/225kV 763 WARANDE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.33,44.3,,,,False,True
17T000000014465W,TR 400/225kV 764 WARANDE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.2,44.9,,,,False,True
17T000000014466U,TR 400/225kV 761 WEPPES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.31,46.4,,,,False,True
17T000000014467S,TR 400/225kV 762 WEPPES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.27,45.7,,,,False,True
17T000000015900Z,TR 400/225kV 761 YVELINES-OUEST,RTE,400.0,225.0,1803.0,1249.1550424186744,0.112,43.1,,,,False,True
24T-KRIZ-T401-02,Krizovany T401,SEPS,400.0,231.0,577.0,399.7573263868969,0.486,39.197,-12.4,1.3125,,False,True
24T-BYST-T402-1I,Bystricany T402,SEPS,400.0,231.0,360.0,249.4153162899183,1.242,79.22,-0.19,0.46,,False,True
24T-BYST-T401-0O,Bystricany T401,SEPS,400.0,231.0,360.0,249.4153162899183,1.242,79.22,-0.19,0.46,,False,True
30T-ARAD400AT3-F,PST Arad 400/220 3,TEL,400.0,231.0,577.0,399.7573263868969,1.02,45.99,-12.37,1.81,60.0,True,True
